Client_Name__c,Job_Function_Hired_In__c_y,Industry_Hired_In__c,Hired_Location__c_y,Salary_Range__c_y,Employment_Type__c_y,Employment_Type__c_y,Federal_Hire__c_y,Hired_but_still_active_and_looking__c_y,Ops_Review_Date__c,Area_Manager_Approved__c,PIM_Approved__c
0030z00002PrtL6AAJ,IT - Systems Management,Information - Information Technology,"Tampa, FL","$80,000 - $89,999",Full-Time,Full-Time,0,0,1/14/2019 0:00,1,1
0030z00002Pru8ZAAR,Customer Service,Real Estate/Rental and Leasing,"North Charleston, SC","$40,000 - $49,999",Full-Time,Full-Time,0,0,12/3/2018 0:00,1,1
0030z00002PruG9AAJ,Safety/Security/Law Enforcement,Defense Contracting,"Fort Riley, KS","$30,000 - $39,999",Full-Time,Full-Time,0,0,1/14/2019 0:00,1,1
0030z00002PruMMAAZ,Administrative/Clerical,Educational Services,"Ofallon, IL","Less than $20,000",Part-Time,Part-Time,0,0,10/15/2018 0:00,1,1
0030z00002PruVEAAZ,Human Resources,Government and Public Administration,"500 Fort Street, Boise, ID 83724","$50,000 - $59,999",Full-Time,Full-Time,0,0,1/7/2019 0:00,1,1
0030z00002PrubCAAR,Installation/Maintenance/Repair,Installation/Repair/Maintenance,"Meridian, ID","$20,000 - $29,999",Full-Time,Full-Time,0,0,10/15/2018 0:00,1,1
0030z00002Prut6AAB,Installation/Maintenance/Repair,Utilities,"New York, New York","$40,000 - $49,999",Full-Time,Full-Time,0,0,11/5/2018 0:00,1,1
0030z00002Prv0HAAR,IT - General,Other,"Fairfax, VA","$100,000+",Full-Time,Full-Time,0,0,10/15/2018 0:00,1,1
0030z00002Prv9sAAB,Training/Instruction/Teaching,Defense Contracting,"Joint Base Lewis-McChord, WA","$60,000 - $69,999",Full-Time,Full-Time,0,0,9/24/2018 0:00,1,1
0030z00002PrvK7AAJ,Human Resources,Educational Services,"Woodbridge, VA","$70,000 - $79,999",Full-Time,Full-Time,0,0,12/24/2018 0:00,1,1
0030z00002PrvzkAAB,Other,Other,"Fort Benning, GA","$50,000 - $59,999",Full-Time,Full-Time,0,0,11/26/2018 0:00,1,1
0030z00002PrwngAAB,Customer Service,Hospitality/Accommodation/Food Services,"Fayetteville, NC","$20,000 - $29,999",Part-Time,Part-Time,0,1,11/19/2018 0:00,1,1
0030z00002PrwoPAAR,Safety/Security/Law Enforcement,Government and Public Administration,"150 S 4th E St Mountain Home, ID","$20,000 - $29,999",Part-Time,Part-Time,0,0,9/24/2018 0:00,1,1
0030z00002PrwzvAAB,Consultant,Defense Contracting,"San Diego, CA","$30,000 - $39,999",Full-Time,Full-Time,0,0,10/22/2018 0:00,1,1
0030z00002Prx7pAAB,Analyst,Government and Public Administration,"MacDill AFB, Tampa, FL","$70,000 - $79,999",Part-Time,Part-Time,1,0,11/12/2018 0:00,1,1
0030z00002QO38wAAD,Safety/Security/Law Enforcement,Government and Public Administration,"Long Island City, NY","$50,000 - $59,999",Full-Time,Full-Time,0,0,11/26/2018 0:00,1,1
0030z00002QXQxoAAH,Management - Project,Information - Information Technology,"Arlington, VA","$100,000+",Full-Time,Full-Time,0,0,11/5/2018 0:00,1,1
0030z00002QXRCzAAP,IT - Help Desk/Support,Information - Information Technology,"11341 W Chinden Blvd, Boise, ID","$40,000 - $49,999",Full-Time,Full-Time,0,0,1/7/2019 0:00,1,1
0030z00002QXRD4AAP,Business Development,Religious/Civic/Nonprofit,"7253 Franklin Rd, Boise, ID 83709","$40,000 - $49,999",Full-Time,Full-Time,0,0,9/24/2018 0:00,1,1
0030z00002QXREQAA5,Customer Service,Retail Trade,"Burbank, CA 91505","$20,000 - $29,999",Part-Time,Part-Time,0,0,8/27/2018 0:00,1,1
0030z00002QXREeAAP,Management - Programs,Arts/Entertainment/Recreation,"Los Angeles, CA","$40,000 - $49,999",Full-Time,Full-Time,0,0,1/7/2019 0:00,1,1
0030z00002QXRe4AAH,IT - Information Security,Health Care and Social Assistance,"Atlanta, GA","$70,000 - $79,999",Full-Time,Full-Time,0,0,11/19/2018 0:00,1,1
0030z00002QXReYAAX,Supply Chain/Logistics,Other,"Fort Payne, AL","$80,000 - $89,999",Full-Time,Full-Time,0,0,12/10/2018 0:00,1,1
0030z00002QXRsqAAH,Business Development,Wholesale Trade,"Norcross, GA","$40,000 - $49,999",Full-Time,Full-Time,0,0,10/22/2018 0:00,1,1
0030z00002QXS95AAH,Construction,Utilities,"Plainfield, IN","$40,000 - $49,999",Full-Time,Full-Time,0,0,11/12/2018 0:00,1,1
0030z00002QXSKAAA5,Transportation,Transportation and Warehousing,"San Bernardino, CA","$40,000 - $49,999",Full-Time,Full-Time,0,0,9/24/2018 0:00,1,1
0030z00002QXTi8AAH,Customer Service,Private Security,"5151 Allentown Rd, Camp Springs, MD 20746","$60,000 - $69,999",Full-Time,Full-Time,0,0,9/24/2018 0:00,1,1
0030z00002QXTkHAAX,Customer Service,Health Care and Social Assistance,"Fishersville, VA","$30,000 - $39,999",Full-Time,Full-Time,0,0,11/19/2018 0:00,1,1
0030z00002QXU02AAH,Other,Aerospace and Aviation,"Dayton, OH","$100,000+",Full-Time,Full-Time,0,0,12/3/2018 0:00,1,1
0030z00002QXU5RAAX,Manufacturing,Manufacturing,"Manhattan, KS","$20,000 - $29,999",Full-Time,Full-Time,0,0,12/17/2018 0:00,1,1
0030z00002QXU5bAAH,Sales,Retail Trade,"Phoenix, AZ","$40,000 - $49,999",Full-Time,Full-Time,0,0,10/1/2018 0:00,1,1
0030z00002QXUIGAA5,Other,Government and Public Administration,"Macon, GA","$30,000 - $39,999",Full-Time,Full-Time,0,0,12/24/2018 0:00,1,1
0030z00002QXUsVAAX,IT - Help Desk/Support,Educational Services,"Kansas City, MO","$40,000 - $49,999",Full-Time,Full-Time,0,0,9/17/2018 0:00,1,1
0030z00002QXUyOAAX,Safety/Security/Law Enforcement,Defense Contracting,Miami FL / worldwide,"$90,000 - $99,999",Full-Time,Full-Time,0,0,1/14/2019 0:00,1,1
0030z00002QXV4WAAX,Healthcare,Health Care and Social Assistance,"New York, NY","$40,000 - $49,999",Temporary/Contract,Temporary/Contract,0,0,12/17/2018 0:00,1,1
0030z00002QXVIEAA5,Administrative/Clerical,Government and Public Administration,"1300 Metropolitan Ave, Leavenworth, KS 66048","$20,000 - $29,999",Full-Time,Full-Time,0,0,11/26/2018 0:00,1,1
0030z00002QXVYrAAP,Warehouse,Retail Trade,"Jacksonville, FL","$20,000 - $29,999",Seasonal,Seasonal,0,1,11/12/2018 0:00,1,1
0030z00002QXVbHAAX,Sales,Health Care and Social Assistance,"Horizon City, TX","$80,000 - $89,999",Full-Time,Full-Time,0,0,12/17/2018 0:00,1,1
0030z00002QXW2aAAH,Healthcare,Health Care and Social Assistance,"Pensacola, FL","$60,000 - $69,999",Full-Time,Full-Time,0,0,9/17/2018 0:00,1,1
0030z00002QXWD9AAP,IT - Help Desk/Support,Information - Information Technology,"Saint Louis, MO","$60,000 - $69,999",Full-Time,Full-Time,0,0,9/10/2018 0:00,1,1
0030z00002QXWRKAA5,Nonprofit - Social Services,Religious/Civic/Nonprofit,"Nashua, NH","$50,000 - $59,999",Full-Time,Full-Time,0,0,12/17/2018 0:00,1,1
0030z00002QXWRLAA5,Safety/Security/Law Enforcement,Health Care and Social Assistance,Houston TX,"$30,000 - $39,999",Full-Time,Full-Time,0,0,10/15/2018 0:00,1,1
0030z00002QXWRPAA5,Customer Service,Information - Information Technology,"Roxboro, NC","$40,000 - $49,999",Full-Time,Full-Time,0,0,1/7/2019 0:00,1,1
0030z00002QXWRYAA5,Human Resources,Business Support - Admin/Staffing,"Smithfield, VA","$70,000 - $79,999",Full-Time,Full-Time,0,0,11/19/2018 0:00,1,1
0030z00002QXWRgAAP,IT - Systems Management,Information - Information Technology,"Virginia Beach, VA","$80,000 - $89,999",Full-Time,Full-Time,0,0,10/1/2018 0:00,1,1
0030z00002QXWRpAAP,Management - Operations,Manufacturing,"Newport News, VA","$80,000 - $89,999",Full-Time,Full-Time,0,0,10/1/2018 0:00,1,1
0030z00002QXWRxAAP,Marketing,Government and Public Administration,Washington DC,"$60,000 - $69,999",Full-Time,Full-Time,1,0,12/3/2018 0:00,1,1
0030z00002QXWSBAA5,Healthcare,Government and Public Administration,"March Air Reserve Base, CA","$40,000 - $49,999",Full-Time,Full-Time,0,0,12/10/2018 0:00,1,1
0030z00002QXWSKAA5,Supply Chain/Logistics,Information - Information Technology,"Norfolk, VA","$70,000 - $79,999",Full-Time,Full-Time,0,0,10/15/2018 0:00,1,1
0030z00002QXWSVAA5,Management - General,Professional - Creative and Design,Florence SC,"$60,000 - $69,999",Full-Time,Full-Time,0,0,8/27/2018 0:00,1,1
0030z00002QXWSYAA5,Engineering,Construction,"Alpharetta, GA","$50,000 - $59,999",Full-Time,Full-Time,0,0,11/12/2018 0:00,1,1
0030z00002QXWSbAAP,Safety/Security/Law Enforcement,Private Security,"1003 Virginia Ave #200, Hapeville, GA","$20,000 - $29,999",Full-Time,Full-Time,0,0,11/12/2018 0:00,1,1
0030z00002QXWSdAAP,Installation/Maintenance/Repair,Hospitality/Accommodation/Food Services,"Nutley, NJ","$60,000 - $69,999",Full-Time,Full-Time,0,0,4/16/2018 0:00,1,1
0030z00002QXWSeAAP,Supply Chain/Logistics,Aerospace and Aviation,"Yorktown, VA","$40,000 - $49,999",Full-Time,Full-Time,0,0,12/3/2018 0:00,1,1
0030z00002QXWSjAAP,Management - Project,Defense Contracting,"Southern Pines, NC","$80,000 - $89,999",Full-Time,Full-Time,0,0,12/24/2018 0:00,1,1
0030z00002QXWnAAAX,Management - Operations,Government and Public Administration,"Detroit, MI","$60,000 - $69,999",Full-Time,Full-Time,1,0,10/15/2018 0:00,1,1
0030z00002QXWomAAH,Other,Defense Contracting,"King George, VA","$90,000 - $99,999",Full-Time,Full-Time,0,0,9/24/2018 0:00,1,1
0030z00002QXWpGAAX,Skilled Labor/Trades,Defense Contracting,"San Diego, CA","$70,000 - $79,999",Full-Time,Full-Time,0,0,10/22/2018 0:00,1,1
0030z00002QXWyAAAX,Management - Operations,Transportation and Warehousing,"San Antonio, TX","$50,000 - $59,999",Full-Time,Full-Time,0,0,1/14/2019 0:00,1,1
0030z00002QXWyPAAX,Warehouse,Transportation and Warehousing,"Tracy, CA","$30,000 - $39,999",Full-Time,Full-Time,0,0,9/24/2018 0:00,1,1
0030z00002QXX14AAH,Consultant,Defense Contracting,"Washington, DC 22202 The Pentagon","$100,000+",Full-Time,Full-Time,0,0,9/24/2018 0:00,1,1
0030z00002QXXlNAAX,Healthcare,Health Care and Social Assistance,"Virginia Beach, VA","$50,000 - $59,999",Full-Time,Full-Time,0,0,1/7/2019 0:00,1,1
0030z00002QXXv8AAH,Training/Instruction/Teaching,Government and Public Administration,"Washington, DC","$60,000 - $69,999",Full-Time,Full-Time,0,1,12/17/2018 0:00,1,1
0030z00002QXY0aAAH,Construction,Construction,Boulder City,"$80,000 - $89,999",Full-Time,Full-Time,0,0,10/1/2018 0:00,1,1
0030z00002QXY0eAAH,Management - General,Defense Contracting,"Fort Belvoir, VA","$70,000 - $79,999",Full-Time,Full-Time,0,0,10/29/2018 0:00,1,1
0030z00002QXY6UAAX,IT - Systems Management,Information - Information Technology,"Reading, PA","$60,000 - $69,999",Full-Time,Full-Time,0,0,12/17/2018 0:00,1,1
0030z00002QXY9JAAX,Management - Operations,Transportation and Warehousing,"Monroe, NJ","$80,000 - $89,999",Full-Time,Full-Time,0,0,9/17/2018 0:00,1,1
0030z00002QXYGxAAP,IT - Information Security,Information - Information Technology,"Aberdeen, MD","$60,000 - $69,999",Full-Time,Full-Time,0,0,12/10/2018 0:00,1,1
0030z00002QXYIPAA5,Customer Service,Business Support - Admin/Staffing,"319 Highway 62 E, N College St, Mountain Home, AR","$20,000 - $29,999",Part-Time,Part-Time,0,0,11/5/2018 0:00,1,1
0030z00002QXYmCAAX,Customer Service,Health Care and Social Assistance,"Missoula, MT 59801","$30,000 - $39,999",Full-Time,Full-Time,0,0,12/24/2018 0:00,1,1
0030z00002QXYrlAAH,Transportation,Transportation and Warehousing,"1000 Columbia Park Trail Richland, WA","$40,000 - $49,999",Full-Time,Full-Time,0,0,10/1/2018 0:00,1,1
0030z00002QXkGZAA1,Safety/Security/Law Enforcement,Government and Public Administration,"Laredo, TX","$70,000 - $79,999",Full-Time,Full-Time,1,0,12/17/2018 0:00,1,1
0030z00002QXl6VAAT,IT - Computer/Software Engineering,Information - Information Technology,"New York, New York","$60,000 - $69,999",Full-Time,Full-Time,0,0,9/24/2018 0:00,1,1
0030z00002QXnjOAAT,IT - Information Security,Information - Information Technology,"Warren Township, NJ","$100,000+",Full-Time,Full-Time,0,0,10/15/2018 0:00,1,1
0030z00002QXnnBAAT,Customer Service,Agriculture/Forestry/Fishing and Hunting,"Dublin, CA 94568","$20,000 - $29,999",Full-Time,Full-Time,0,1,10/29/2018 0:00,1,1
0030z00002QXpMzAAL,Management - Programs,Information - Information Technology,"Virginia Beach, VA","$60,000 - $69,999",Temporary/Contract,Temporary/Contract,0,0,10/1/2018 0:00,1,1
0030z00002QXpSiAAL,IT - Information Security,Government and Public Administration,"Tampa, FL","$80,000 - $89,999",Full-Time,Full-Time,1,0,10/8/2018 0:00,1,1
0030z00002QXpTCAA1,Training/Instruction/Teaching,Educational Services,"San Diego, CA","$20,000 - $29,999",Full-Time,Full-Time,0,0,11/19/2018 0:00,1,1
0030z00002QXsbmAAD,Facilities Management,Private Security,"Sylmar, CA","$40,000 - $49,999",Full-Time,Full-Time,0,1,10/8/2018 0:00,1,1
0030z00002QXsuOAAT,Healthcare,Government and Public Administration,East Orange NJ,"$50,000 - $59,999",Full-Time,Full-Time,1,0,11/5/2018 0:00,1,1
0030z00002QXsxhAAD,Quality Assurance/Quality Control,Government and Public Administration,"Stephenville, TX","$20,000 - $29,999",Full-Time,Full-Time,0,0,11/5/2018 0:00,1,1
0030z00002QXsxrAAD,Professional Services,Retail Trade,"804 E Broadway, Trenton, IL 62293","$20,000 - $29,999",Full-Time,Full-Time,0,0,10/29/2018 0:00,1,1
0030z00002QXt31AAD,Restaurant/Food Service,Hospitality/Accommodation/Food Services,"Columbus, GA","$20,000 - $29,999",Full-Time,Full-Time,0,0,10/29/2018 0:00,1,1
0030z00002QXt5lAAD,Construction,Construction,Ny. NY,"$60,000 - $69,999",Full-Time,Full-Time,0,0,10/29/2018 0:00,1,1
0030z00002QXt81AAD,Manufacturing,Manufacturing,"Smithfield, NC","$30,000 - $39,999",Full-Time,Full-Time,0,0,10/29/2018 0:00,1,1
0030z00002QXt8BAAT,Professional Services,Installation/Repair/Maintenance,Charleston,"$50,000 - $59,999",Full-Time,Full-Time,0,0,12/17/2018 0:00,1,1
0030z00002QXt94AAD,Administrative/Clerical,Hospitality/Accommodation/Food Services,"Aomori Prefecture, Japan","$40,000 - $49,999",Full-Time,Full-Time,0,0,1/7/2019 0:00,1,1
0030z00002QXtDzAAL,Human Resources,Health Care and Social Assistance,"Amarillo, TX","$30,000 - $39,999",Full-Time,Full-Time,0,0,12/17/2018 0:00,1,1
0030z00002QXtIBAA1,Analyst,Transportation and Warehousing,"Manhattan, NY","$40,000 - $49,999",Full-Time,Full-Time,0,0,11/12/2018 0:00,1,1
0030z00002QXtdiAAD,Safety/Security/Law Enforcement,Private Security,"5820 Blue Lagoon Dr # 300, Miami, FL","$20,000 - $29,999",Full-Time,Full-Time,0,0,12/24/2018 0:00,1,1
0030z00002QXtfjAAD,Banking/Finance,Banking/Finance/Insurance,"Austin, TX","$50,000 - $59,999",Full-Time,Full-Time,0,0,11/5/2018 0:00,1,1
0030z00002QXtrVAAT,Sales,Information - Information Technology,"Richardson, TX","$90,000 - $99,999",Full-Time,Full-Time,0,0,9/24/2018 0:00,1,1
0030z00002QXttlAAD,Management - Operations,Wholesale Trade,"Mesa, Arizona","$70,000 - $79,999",Full-Time,Full-Time,0,0,12/3/2018 0:00,1,1
0030z00002QXtzUAAT,Administrative/Clerical,Defense Contracting,"Sunnyvale, CA","$80,000 - $89,999",Full-Time,Full-Time,0,0,11/5/2018 0:00,1,1
0030z00002QXuoeAAD,General Labor,Manufacturing,"Waco, TX","$20,000 - $29,999",Part-Time,Part-Time,0,1,10/15/2018 0:00,1,1
0030z00002QXutPAAT,Professional Services,Agriculture/Forestry/Fishing and Hunting,"1025 Exchange Street, Boise, ID","$40,000 - $49,999",Full-Time,Full-Time,0,0,11/5/2018 0:00,1,1
0030z00002QXvuaAAD,Healthcare,Health Care and Social Assistance,"San Antonio, TX","$60,000 - $69,999",Full-Time,Full-Time,0,0,10/1/2018 0:00,1,1
0030z00002QXw5FAAT,Engineering,Construction,"Mesa, AZ","$60,000 - $69,999",Full-Time,Full-Time,0,0,10/1/2018 0:00,1,1
0030z00002QXwcBAAT,Analyst,Information - Information Technology,"Bellevue, WA","$100,000+",Full-Time,Full-Time,0,0,12/17/2018 0:00,1,1
0030z00002QXwk5AAD,Transportation,Transportation and Warehousing,"Fort Worth, TX","$40,000 - $49,999",Full-Time,Full-Time,0,0,12/24/2018 0:00,1,1
0030z00002QXwsJAAT,Management - Programs,Defense Contracting,"Stuttgurt, Germany","$60,000 - $69,999",Full-Time,Full-Time,0,1,1/14/2019 0:00,1,1
0030z00002QXyedAAD,Management - Programs,Defense Contracting,Contractor on Hillsdale Air Force Base,"$60,000 - $69,999",Full-Time,Full-Time,0,0,9/3/2018 0:00,1,1
0030z00002QXylZAAT,Telecommunications,Information - Telecommunications,"Houston, TX","$30,000 - $39,999",Full-Time,Full-Time,0,0,10/1/2018 0:00,1,1
0030z00002QXz5YAAT,Management - Project,Real Estate/Rental and Leasing,"Virginia Beach, VA","$60,000 - $69,999",Full-Time,Full-Time,0,0,10/22/2018 0:00,1,1
0030z00002QXz8MAAT,Human Resources,Hospitality/Accommodation/Food Services,Brooksville FL,"$50,000 - $59,999",Full-Time,Full-Time,0,0,10/15/2018 0:00,1,1
0030z00002QXzbwAAD,IT - General,Information - Information Technology,"12501 West Explorer Drive Suite 150 Boise, ID 83713, USA","$50,000 - $59,999",Full-Time,Full-Time,0,0,9/17/2018 0:00,1,1
0030z00002QXzcqAAD,Human Resources,Real Estate/Rental and Leasing,"Atlanta, GA","$70,000 - $79,999",Full-Time,Full-Time,0,0,10/29/2018 0:00,1,1
0030z00002QXzisAAD,Installation/Maintenance/Repair,Defense Contracting,"Lemoore, CA","$50,000 - $59,999",Full-Time,Full-Time,0,1,12/24/2018 0:00,1,1
0030z00002QXzqrAAD,Skilled Labor/Trades,Government and Public Administration,"Buckeye, AZ","$50,000 - $59,999",Full-Time,Full-Time,0,1,11/5/2018 0:00,1,1
0030z00002QXzwkAAD,Construction,Construction,Houston TX,"$40,000 - $49,999",Full-Time,Full-Time,0,0,12/24/2018 0:00,1,1
0030z00002QY0P4AAL,Healthcare,Health Care and Social Assistance,"1515 Holcombe Blvd, Houston, TX 77030","$50,000 - $59,999",Full-Time,Full-Time,0,1,10/15/2018 0:00,1,1
0030z00002QY0TfAAL,General Labor,Hospitality/Accommodation/Food Services,"Houston, TX","$20,000 - $29,999",Full-Time,Full-Time,0,0,12/17/2018 0:00,1,1
0030z00002QY0kWAAT,Engineering,Professional - Architectural/Engineering,"Ruther Glen, VA","$90,000 - $99,999",Full-Time,Full-Time,0,0,12/17/2018 0:00,1,1
0030z00002QY0qPAAT,Safety/Security/Law Enforcement,Arts/Entertainment/Recreation,West Columbia SC,"$20,000 - $29,999",Part-Time,Part-Time,0,0,11/5/2018 0:00,1,1
